licensor_id,licensor
1,Funimation
2,"Sony Pictures Entertainment"
3,"VIZ Media"
4,"Nozomi Entertainment"
5,"Geneon Entertainment USA"
6,"ADV Films"
7,"Manga Entertainment"
8,"Media Blasters"
9,AnimEigo
10,"Sentai Filmworks"
11,"Bandai Entertainment"
12,"Discotek Media"
13,"4Kids Entertainment"
14,"Central Park Media"
15,GKIDS
16,"Flatiron Film Company"
17,"Urban Vision"
18,"Walt Disney Studios"
19,"NuTech Digital"
20,"Aniplex of America"
21,"Adult Source Media"
22,"SoftCel Pictures"
23,Nelvana
24,Tokyopop
25,"Bandai Visual USA"
26,"Maiden Japan"
27,"Anime Midstream"
28,"Saban Entertainment"
29,Synch-Point
30,"Super Techno Arts"
31,"Kitty Media"
32,"Anchor Bay Films"
33,"Brain's Base"
34,Bandai
35,"Eleven Arts"
36,"Geneon Universal Entertainment"
37,"Shout! Factory"
38,"Warner Bros. Japan"
39,"Critical Mass Video"
40,"Voyager Entertainment"
41,Hasbro
42,"Enoki Films"
43,"Kadokawa Pictures USA"
44,JapanAnime
45,"Warner Bros. Pictures"
46,"Saban Brands"
47,"Pioneer LDC"
48,Capcom
49,"The Pokemon Company International"
50,"Cinelicious Pics"
51,"NIS America"
52,"Pied Piper"
53,"NYAV Post"
54,"Marvel Entertainment"
55,"Dentsu Entertainment USA"
56,Konami
57,"Cookie Jar Entertainment"
58,Active
59,"Ketchup Entertainment"
60,Kadokawa
61,Crunchyroll
62,Netflix
63,"Ponycan USA"
64,bilibili
65,"Haoliners Animation League"
66,feel.
67,"B.CMAY PICTURES"
68,"Bandai Namco Games"
69,"Media Bank"
70,iQIYI
71,"Crimson Star Media"
72,DreamWorks
73,"Miramax Films"
74,"DiC Entertainment"
75,Inc.
76,"Nintendo of America"
77,"NBCUniversal Entertainment Japan"
78,"OLM Digital"
